cluster,dimension,min_samples,min_cluster_size,epsilon,total_groups,outliers,score,group_result
#6,10,1,15,0.0,10,56,0.6465718310021433,"[{'cluster_no': 0, 'count': 19}, {'cluster_no': 5, 'count': 21}, {'cluster_no': 7, 'count': 21}, {'cluster_no': 8, 'count': 24}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 3, 'count': 36}, {'cluster_no': 1, 'count': 39}, {'cluster_no': 4, 'count': 41}, {'cluster_no': 2, 'count': 43}, {'cluster_no': -1, 'count': 56}]"
#6,10,2,5,0.0,31,46,0.7921562989578269,"[{'cluster_no': 3, 'count': 5}, {'cluster_no': 9, 'count': 5}, {'cluster_no': 15, 'count': 5}, {'cluster_no': 16, 'count': 5}, {'cluster_no': 18, 'count': 5}, {'cluster_no': 27, 'count': 5}, {'cluster_no': 29, 'count': 5}, {'cluster_no': 5, 'count': 6}, {'cluster_no': 21, 'count': 6}, {'cluster_no': 14, 'count': 7}, {'cluster_no': 24, 'count': 7}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 6, 'count': 8}, {'cluster_no': 28, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 12, 'count': 9}, {'cluster_no': 13, 'count': 9}, {'cluster_no': 19, 'count': 9}, {'cluster_no': 20, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 23, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 8, 'count': 11}, {'cluster_no': 17, 'count': 12}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 25, 'count': 13}, {'cluster_no': 26, 'count': 13}, {'cluster_no': 11, 'count': 20}, {'cluster_no': 22, 'count': 27}, {'cluster_no': -1, 'count': 46}]"
#6,10,2,6,0.0,24,51,0.7969147661481357,"[{'cluster_no': 4, 'count': 6}, {'cluster_no': 18, 'count': 6}, {'cluster_no': 21, 'count': 7}, {'cluster_no': 3, 'count': 8}, {'cluster_no': 5, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 7, 'count': 9}, {'cluster_no': 13, 'count': 9}, {'cluster_no': 14, 'count': 9}, {'cluster_no': 15, 'count': 9}, {'cluster_no': 16, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 20, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 8, 'count': 11}, {'cluster_no': 9, 'count': 12}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 22, 'count': 13}, {'cluster_no': 17, 'count': 14}, {'cluster_no': 11, 'count': 17}, {'cluster_no': 12, 'count': 20}, {'cluster_no': 6, 'count': 27}, {'cluster_no': 19, 'count': 27}, {'cluster_no': -1, 'count': 51}]"
#6,10,2,7,0.0,21,50,0.7708422557610832,"[{'cluster_no': 18, 'count': 7}, {'cluster_no': 3, 'count': 8}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 12, 'count': 9}, {'cluster_no': 13, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 17, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 7, 'count': 11}, {'cluster_no': 8, 'count': 12}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 19, 'count': 13}, {'cluster_no': 10, 'count': 17}, {'cluster_no': 11, 'count': 20}, {'cluster_no': 15, 'count': 20}, {'cluster_no': 14, 'count': 25}, {'cluster_no': 5, 'count': 27}, {'cluster_no': 16, 'count': 27}, {'cluster_no': -1, 'count': 50}]"
#6,10,2,8,0.0,20,46,0.7593372691842787,"[{'cluster_no': 3, 'count': 8}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 12, 'count': 9}, {'cluster_no': 13, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 18, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 7, 'count': 11}, {'cluster_no': 8, 'count': 12}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 10, 'count': 17}, {'cluster_no': 11, 'count': 20}, {'cluster_no': 15, 'count': 20}, {'cluster_no': 16, 'count': 24}, {'cluster_no': 14, 'count': 25}, {'cluster_no': 5, 'count': 27}, {'cluster_no': 17, 'count': 27}, {'cluster_no': -1, 'count': 46}]"
#6,10,2,9,0.0,17,44,0.719757980673904,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 15, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 6, 'count': 11}, {'cluster_no': 7, 'count': 12}, {'cluster_no': 8, 'count': 13}, {'cluster_no': 9, 'count': 17}, {'cluster_no': 10, 'count': 20}, {'cluster_no': 12, 'count': 20}, {'cluster_no': 13, 'count': 24}, {'cluster_no': 11, 'count': 25}, {'cluster_no': 4, 'count': 27}, {'cluster_no': 14, 'count': 27}, {'cluster_no': 3, 'count': 36}, {'cluster_no': -1, 'count': 44}]"
#6,10,2,10,0.0,15,41,0.6552105855078292,"[{'cluster_no': 13, 'count': 10}, {'cluster_no': 0, 'count': 11}, {'cluster_no': 4, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 6, 'count': 13}, {'cluster_no': 7, 'count': 17}, {'cluster_no': 1, 'count': 19}, {'cluster_no': 8, 'count': 20}, {'cluster_no': 10, 'count': 20}, {'cluster_no': 11, 'count': 24}, {'cluster_no': 9, 'count': 25}, {'cluster_no': 12, 'count': 27}, {'cluster_no': 2, 'count': 36}, {'cluster_no': 3, 'count': 39}, {'cluster_no': -1, 'count': 41}]"
#6,10,2,11,0.0,12,35,0.6685965691408562,"[{'cluster_no': 0, 'count': 11}, {'cluster_no': 5, 'count': 12}, {'cluster_no': 1, 'count': 19}, {'cluster_no': 7, 'count': 20}, {'cluster_no': 9, 'count': 20}, {'cluster_no': 10, 'count': 24}, {'cluster_no': 8, 'count': 25}, {'cluster_no': -1, 'count': 35}, {'cluster_no': 2, 'count': 36}, {'cluster_no': 3, 'count': 39}, {'cluster_no': 6, 'count': 41}, {'cluster_no': 4, 'count': 43}]"
#6,10,2,12,0.0,11,46,0.6559168897115573,"[{'cluster_no': 4, 'count': 12}, {'cluster_no': 0, 'count': 19}, {'cluster_no': 6, 'count': 20}, {'cluster_no': 8, 'count': 20}, {'cluster_no': 9, 'count': 24}, {'cluster_no': 7, 'count': 25}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 5, 'count': 41}, {'cluster_no': 3, 'count': 43}, {'cluster_no': -1, 'count': 46}]"
#6,10,2,13,0.0,10,58,0.6467946275221795,"[{'cluster_no': 0, 'count': 19}, {'cluster_no': 5, 'count': 20}, {'cluster_no': 7, 'count': 20}, {'cluster_no': 8, 'count': 24}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 1, 'count': 36}, {'cluster_no': 2, 'count': 39}, {'cluster_no': 4, 'count': 41}, {'cluster_no': 3, 'count': 43}, {'cluster_no': -1, 'count': 58}]"
