HDBSCAN_Cluster,DocId,x,y
-1,445,9.51,2.75
0,446,10.79,3.54
-1,447,8.89,3.17
6,448,7.24,3.34
-1,449,8.2,3.03
3,450,10.64,0.78
3,451,10.52,0.83
-1,452,10.61,3.38
-1,453,8.04,2.85
3,454,10.38,0.35
3,455,10.28,1.01
2,456,10.3,3.09
-1,457,9.85,1.62
4,459,10.68,2.24
3,460,10.12,0.39
6,461,7.33,4.19
-1,462,9.77,2.46
-1,463,9.53,3.23
6,464,7.59,4.35
3,465,10.17,0.41
-1,466,9.45,3.69
-1,467,10.2,3.71
-1,468,8.73,2.69
3,469,10.59,0.22
1,470,9.14,2.08
4,471,10.95,1.8
-1,472,10.15,2.02
-1,473,9.66,2.92
-1,474,10.07,2.4
-1,475,10.9,2.66
-1,476,8.38,2.13
6,477,6.76,3.82
-1,478,8.36,4.87
0,479,11.17,3.93
-1,480,9.89,4.26
-1,481,10.28,1.61
-1,482,8.23,4.27
-1,483,7.61,4.09
-1,484,10.43,3.24
2,485,10.28,2.87
3,486,10.43,0.39
-1,487,8.4,3.98
-1,488,10.58,1.96
5,489,9.05,4.68
6,490,7.29,4.6
-1,491,8.56,3.23
1,492,8.57,2.37
0,493,11.55,3.38
6,494,7.81,3.12
5,495,8.78,4.66
-1,496,7.88,2.65
-1,497,10.47,2.12
6,498,7.29,4.58
0,499,11.4,3.59
5,500,8.31,4.68
5,501,8.24,4.45
-1,502,9.15,4.56
-1,503,11.1,1.83
3,504,10.67,0.36
3,505,10.54,0.42
3,506,10.57,0.57
-1,507,7.8,2.38
-1,508,7.88,4.36
-1,509,9.5,3.88
6,511,7.51,2.97
-1,512,7.8,2.67
1,513,9.31,2.43
5,514,8.39,4.48
5,515,8.74,4.67
-1,516,8.42,5.07
1,517,9.28,1.72
1,518,9.02,2.25
5,519,8.72,4.38
6,520,7.69,2.93
4,521,10.92,1.82
2,522,10.11,2.86
5,523,9.43,4.58
-1,524,8.42,4.56
5,525,8.4,4.51
0,526,10.9,3.52
0,527,10.79,3.6
-1,528,8.08,3.5
6,529,7.3,3.64
5,530,8.16,4.35
-1,531,10.42,1.32
4,532,10.97,1.39
-1,533,8.37,4.54
5,534,8.35,4.35
3,535,10.38,0.34
-1,536,9.22,1.17
-1,537,10.43,1.89
3,538,10.3,0.61
4,539,10.94,1.46
4,540,10.59,1.45
-1,541,7.98,3.35
1,542,8.89,2.31
6,543,7.33,4.22
-1,544,6.76,3.83
6,545,8.07,4.25
-1,546,8.69,1.47
5,547,8.62,4.72
4,548,11.0,1.41
5,549,8.4,4.31
6,550,7.36,3.25
-1,551,10.1,2.07
-1,552,8.15,4.86
-1,553,8.78,2.49
1,554,9.37,2.51
5,555,9.52,4.52
5,556,9.45,4.75
1,557,8.84,2.44
-1,558,9.49,4.44
-1,559,8.82,4.25
-1,560,10.61,3.19
6,561,6.85,4.2
-1,562,9.09,3.26
-1,563,7.95,4.27
