Cluster,DocId,x,y
4,526,5.26,5.58
4,527,4.44,6.37
4,528,4.73,4.84
4,529,5.24,6.61
2,530,6.41,3.34
2,531,5.83,4.11
1,532,2.5300000000000002,9.57
1,533,2.29,9.76
3,534,8.62,5.15
4,535,4.64,6.13
4,536,5.45,6.43
0,537,6.85,5.32
4,538,6.8100000000000005,6.48
2,539,6.41,4.22
2,540,7.3,2.8200000000000003
3,541,9.41,6.57
3,542,8.71,5.15
3,543,9.04,5.26
0,544,5.59,4.44
3,545,8.35,6.94
4,546,4.76,4.74
2,547,6.94,4.15
1,548,2.35,9.72
4,549,4.47,6.35
4,550,5.11,5.02
0,551,7.83,5.43
2,552,7.86,3.25
4,553,4.99,7.53
4,554,6.52,7.3
1,555,2.35,9.73
4,556,5.17,6.67
0,557,5.33,4.6
1,558,2.29,9.78
2,559,7.76,3.32
0,560,6.17,6.53
4,561,5.0,7.54
1,562,2.51,9.59
0,563,5.69,4.97
3,564,8.75,4.63
4,565,4.61,6.97
3,566,9.1,6.48
3,567,8.47,7.8100000000000005
4,568,4.66,6.8
4,569,6.0,7.18
4,570,5.22,5.89
4,571,5.62,7.24
1,572,2.37,9.68
4,573,4.82,4.82
0,574,6.62,5.22
3,575,8.58,6.38
1,576,2.32,9.67
4,577,6.47,6.92
4,578,4.82,7.11
2,579,6.47,4.23
1,580,2.52,9.58
4,581,5.8100000000000005,7.39
0,582,7.68,4.99
1,583,2.58,9.67
1,584,2.35,9.72
1,585,2.31,9.77
1,586,2.42,9.65
2,587,6.72,2.96
3,588,8.37,5.93
1,589,2.37,9.7
1,590,2.37,9.72
3,591,8.12,6.45
0,592,6.26,4.76
4,593,5.09,5.07
4,594,5.38,5.24
3,595,8.72,5.68
3,596,8.93,4.76
2,597,6.9,3.77
1,598,2.29,9.75
0,599,5.68,6.09
