term,freq,range,score,doc_ids
topic probability,1,1,2,[345]
learning model,1,1,2,[345]
use case,1,1,2,[345]
metropolitan area,1,1,2,[345]
uncover discrepancy,1,1,2,[345]
smooth inaccuracy,1,1,2,[345]
variational beauty,1,1,2,[390]
spatial network,1,1,2,[390]
spatial order,1,1,2,[390]
spatial computation,1,1,2,[390]
intrinsic attribute,1,1,2,[390]
urban fabric,1,1,2,[390]
different approach,1,1,2,[390]
urban structure,1,1,2,[390]
variational autoencoders,1,1,2,[390]
interesting result,1,1,2,[390]
representation learning,1,1,2,[390]
knowledge representation,1,1,2,[390]
subsequent reconstruction,1,1,2,[390]
unique set,1,1,2,[390]
layer deep,1,1,2,[390]
spatial complexity,1,1,2,[390]
biological process,1,1,2,[390]
connectivity pattern,1,1,2,[390]
visual cortex,1,1,2,[390]
artificial neuron,1,1,2,[390]
neuron respond,1,1,2,[390]
restricted region,1,1,2,[390]
convolutional layer,1,1,2,[390]
convolution operation,1,1,2,[390]
next layer,1,1,2,[390]
convolutional neuron,1,1,2,[390]
receptive field,1,1,2,[390]
cascading nature,1,1,2,[390]
spatial relation,1,1,2,[390]
supervised image,1,1,2,[390]
image classification,1,1,2,[390]
complete architecture,1,1,2,[390]
deep convolutional,1,1,2,[390]
significant outcome,1,1,2,[390]
variational encoding,1,1,2,[390]
learned feature,1,1,2,[390]
network output,1,1,2,[390]
variational synthesis,1,1,2,[390]
google map,1,1,2,[402]
map platform,1,1,2,[402]
generating system,1,1,2,[402]
color tendency,1,1,2,[402]
building element,1,1,2,[402]
various region,1,1,2,[402]
decision making,1,1,2,[402]
current state,1,1,2,[402]
landscape conservation,1,1,2,[402]
public object,1,1,2,[402]
development method,1,1,2,[402]
use experiment,1,1,2,[402]
icon creation,1,1,2,[402]
present system,1,1,2,[402]
synthesis refers,1,1,2,[414]
object subject,1,1,2,[414]
structural constraint,1,1,2,[414]
support system,1,1,2,[414]
essential tool,1,1,2,[414]
functional layout,1,1,2,[414]
elicitation task,1,1,2,[414]
coactive interaction,1,1,2,[414]
interaction protocol,1,1,2,[414]
designer interact,1,1,2,[414]
qualitative result,1,1,2,[414]
sustainable growth,1,1,2,[457]
informed decision,1,1,2,[457]
multiple source,1,1,2,[457]
natural language,1,1,2,[457]
nlp technique,1,1,2,[457]
word embedding,1,1,2,[457]
accurate output,1,1,2,[457]
geographical insight,1,1,2,[457]
planning process,1,1,2,[457]
planning domain,1,1,2,[457]
map service,1,1,2,[457]
community engagement,1,1,2,[465]
current tool,1,1,2,[465]
complex simulation,1,1,2,[465]
urban performance,1,1,2,[465]
urban simulation,1,1,2,[465]
simulation result,1,1,2,[465]
solar performance,1,1,2,[465]
unseen city,1,1,2,[465]
original simulation,1,1,2,[465]
efficient method,1,1,2,[465]
optimized design,1,1,2,[465]
efficient manner,1,1,2,[465]
following paper,1,1,2,[481]
network algorithms,1,1,2,[481]
computational experiment,1,1,2,[481]
backward propagation,1,1,2,[481]
error method,1,1,2,[481]
corinthian order,1,1,2,[481]
order capital,1,1,2,[481]
input training,1,1,2,[481]
training data,1,1,2,[481]
local geometry,1,1,2,[481]
geometry parameter,1,1,2,[481]
spherical coordinate,1,1,2,[481]
capital volume,1,1,2,[481]
volume centroid,1,1,2,[481]
z value,1,1,2,[481]
cartesian coordinate,1,1,2,[481]
vertical plane,1,1,2,[481]
capital symmetry,1,1,2,[481]
optimal count,1,1,2,[481]
input parameter,1,1,2,[481]
artificial network,1,1,2,[481]
detail composition,1,1,2,[481]
geometry type,1,1,2,[481]
transformed geometry,1,1,2,[481]
surface point,1,1,2,[481]
complex pattern,1,1,2,[481]
supervised learning,1,1,2,[481]
learning method,1,1,2,[481]
imagination bound,1,1,2,[481]
computational method,1,1,2,[481]
unpredictable form,1,1,2,[481]
architectural practice,1,1,2,[481]
practice solution,1,1,2,[481]
human design,1,1,2,[533]
optimization problem,1,1,2,[533]
outlined feature,1,1,2,[533]
randomized fitness,1,1,2,[533]
fitness measure,1,1,2,[533]
decision analysis,1,1,2,[533]
defined measure,1,1,2,[533]
first stage,1,1,2,[533]
design space,1,1,2,[533]
second stage,1,1,2,[533]
interactive design,1,1,2,[533]
design loop,1,1,2,[533]
application interface,1,1,2,[533]
feature selection,1,1,2,[535]
national state,1,1,2,[535]
state institution,1,1,2,[535]
institution world,1,1,2,[535]
regular time,1,1,2,[535]
time interval,1,1,2,[535]
fantastic source,1,1,2,[535]
major challenge,1,1,2,[535]
census data,1,1,2,[535]
vast number,1,1,2,[535]
useful knowledge,1,1,2,[535]
artificial intelligent,1,1,2,[535]
intelligent approach,1,1,2,[535]
attribute feature,1,1,2,[535]
interesting pattern,1,1,2,[535]
beppu census,1,1,2,[535]
census ward,1,1,2,[535]
gis visualisation,1,1,2,[535]
jrip function,1,1,2,[535]
relevant discerning,1,1,2,[535]
discerning feature,1,1,2,[535]
new pattern,1,1,2,[535]
new knowledge,1,1,2,[535]
application domain,1,1,2,[535]
resource management,1,1,2,[535]
transport planning,1,1,2,[535]
