dimension,min_samples,min_cluster_size,epsilon,total_clusters,outliers,Silhouette_score,cluster_results
60,2,5,0.0,34,205,0.4648361821270776,"[{'cluster_no': 2, 'count': 5}, {'cluster_no': 19, 'count': 5}, {'cluster_no': 22, 'count': 5}, {'cluster_no': 27, 'count': 5}, {'cluster_no': 3, 'count': 6}, {'cluster_no': 4, 'count': 6}, {'cluster_no': 8, 'count': 6}, {'cluster_no': 15, 'count': 6}, {'cluster_no': 0, 'count': 7}, {'cluster_no': 1, 'count': 7}, {'cluster_no': 6, 'count': 7}, {'cluster_no': 10, 'count': 7}, {'cluster_no': 29, 'count': 7}, {'cluster_no': 14, 'count': 8}, {'cluster_no': 25, 'count': 8}, {'cluster_no': 16, 'count': 9}, {'cluster_no': 20, 'count': 10}, {'cluster_no': 24, 'count': 10}, {'cluster_no': 32, 'count': 10}, {'cluster_no': 18, 'count': 11}, {'cluster_no': 23, 'count': 11}, {'cluster_no': 26, 'count': 12}, {'cluster_no': 11, 'count': 13}, {'cluster_no': 17, 'count': 13}, {'cluster_no': 5, 'count': 14}, {'cluster_no': 21, 'count': 14}, {'cluster_no': 28, 'count': 14}, {'cluster_no': 31, 'count': 14}, {'cluster_no': 9, 'count': 15}, {'cluster_no': 30, 'count': 24}, {'cluster_no': 7, 'count': 25}, {'cluster_no': 12, 'count': 31}, {'cluster_no': 13, 'count': 34}, {'cluster_no': -1, 'count': 205}]"
60,2,6,0.0,25,158,0.24206181942005234,"[{'cluster_no': 2, 'count': 6}, {'cluster_no': 3, 'count': 6}, {'cluster_no': 7, 'count': 6}, {'cluster_no': 14, 'count': 6}, {'cluster_no': 0, 'count': 7}, {'cluster_no': 5, 'count': 7}, {'cluster_no': 9, 'count': 7}, {'cluster_no': 13, 'count': 8}, {'cluster_no': 15, 'count': 9}, {'cluster_no': 20, 'count': 10}, {'cluster_no': 23, 'count': 10}, {'cluster_no': 18, 'count': 11}, {'cluster_no': 22, 'count': 11}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 17, 'count': 13}, {'cluster_no': 4, 'count': 14}, {'cluster_no': 21, 'count': 14}, {'cluster_no': 8, 'count': 15}, {'cluster_no': 6, 'count': 25}, {'cluster_no': 11, 'count': 31}, {'cluster_no': 12, 'count': 34}, {'cluster_no': 16, 'count': 41}, {'cluster_no': 19, 'count': 110}, {'cluster_no': -1, 'count': 158}]"
60,2,7,0.0,21,182,0.4058411630184695,"[{'cluster_no': 0, 'count': 7}, {'cluster_no': 3, 'count': 7}, {'cluster_no': 6, 'count': 7}, {'cluster_no': 10, 'count': 8}, {'cluster_no': 11, 'count': 9}, {'cluster_no': 16, 'count': 10}, {'cluster_no': 19, 'count': 10}, {'cluster_no': 14, 'count': 11}, {'cluster_no': 18, 'count': 11}, {'cluster_no': 1, 'count': 12}, {'cluster_no': 7, 'count': 13}, {'cluster_no': 13, 'count': 13}, {'cluster_no': 2, 'count': 14}, {'cluster_no': 17, 'count': 14}, {'cluster_no': 5, 'count': 15}, {'cluster_no': 4, 'count': 25}, {'cluster_no': 8, 'count': 31}, {'cluster_no': 9, 'count': 34}, {'cluster_no': 12, 'count': 41}, {'cluster_no': 15, 'count': 110}, {'cluster_no': -1, 'count': 182}]"
60,2,8,0.0,18,185,0.4066196586150327,"[{'cluster_no': 7, 'count': 8}, {'cluster_no': 8, 'count': 9}, {'cluster_no': 13, 'count': 10}, {'cluster_no': 16, 'count': 10}, {'cluster_no': 11, 'count': 11}, {'cluster_no': 15, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 4, 'count': 13}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 14, 'count': 14}, {'cluster_no': 2, 'count': 21}, {'cluster_no': 3, 'count': 25}, {'cluster_no': 1, 'count': 26}, {'cluster_no': 5, 'count': 31}, {'cluster_no': 6, 'count': 34}, {'cluster_no': 9, 'count': 41}, {'cluster_no': 12, 'count': 110}, {'cluster_no': -1, 'count': 185}]"
60,2,9,0.0,16,170,0.4524923457341825,"[{'cluster_no': 8, 'count': 9}, {'cluster_no': 11, 'count': 10}, {'cluster_no': 14, 'count': 10}, {'cluster_no': 13, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 6, 'count': 13}, {'cluster_no': 12, 'count': 14}, {'cluster_no': 2, 'count': 21}, {'cluster_no': 5, 'count': 25}, {'cluster_no': 1, 'count': 26}, {'cluster_no': 7, 'count': 31}, {'cluster_no': 4, 'count': 34}, {'cluster_no': 9, 'count': 41}, {'cluster_no': 3, 'count': 47}, {'cluster_no': 10, 'count': 110}, {'cluster_no': -1, 'count': 170}]"
60,2,10,0.0,15,160,0.4182079687433645,"[{'cluster_no': 10, 'count': 10}, {'cluster_no': 13, 'count': 10}, {'cluster_no': 12, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 6, 'count': 13}, {'cluster_no': 11, 'count': 14}, {'cluster_no': 2, 'count': 21}, {'cluster_no': 5, 'count': 25}, {'cluster_no': 1, 'count': 26}, {'cluster_no': 7, 'count': 31}, {'cluster_no': 4, 'count': 34}, {'cluster_no': 3, 'count': 47}, {'cluster_no': 8, 'count': 60}, {'cluster_no': 9, 'count': 110}, {'cluster_no': -1, 'count': 160}]"
60,2,11,0.0,13,169,0.4258039149505518,"[{'cluster_no': 0, 'count': 12}, {'cluster_no': 6, 'count': 13}, {'cluster_no': 11, 'count': 14}, {'cluster_no': 2, 'count': 21}, {'cluster_no': 10, 'count': 22}, {'cluster_no': 5, 'count': 25}, {'cluster_no': 1, 'count': 26}, {'cluster_no': 7, 'count': 31}, {'cluster_no': 4, 'count': 34}, {'cluster_no': 3, 'count': 47}, {'cluster_no': 8, 'count': 60}, {'cluster_no': 9, 'count': 110}, {'cluster_no': -1, 'count': 169}]"
60,2,12,0.0,13,169,0.4258039149505518,"[{'cluster_no': 0, 'count': 12}, {'cluster_no': 6, 'count': 13}, {'cluster_no': 11, 'count': 14}, {'cluster_no': 2, 'count': 21}, {'cluster_no': 10, 'count': 22}, {'cluster_no': 5, 'count': 25}, {'cluster_no': 1, 'count': 26}, {'cluster_no': 7, 'count': 31}, {'cluster_no': 4, 'count': 34}, {'cluster_no': 3, 'count': 47}, {'cluster_no': 8, 'count': 60}, {'cluster_no': 9, 'count': 110}, {'cluster_no': -1, 'count': 169}]"
60,2,13,0.0,12,181,0.46315604575547015,"[{'cluster_no': 5, 'count': 13}, {'cluster_no': 10, 'count': 14}, {'cluster_no': 1, 'count': 21}, {'cluster_no': 9, 'count': 22}, {'cluster_no': 4, 'count': 25}, {'cluster_no': 0, 'count': 26}, {'cluster_no': 6, 'count': 31}, {'cluster_no': 3, 'count': 34}, {'cluster_no': 2, 'count': 47}, {'cluster_no': 7, 'count': 60}, {'cluster_no': 8, 'count': 110}, {'cluster_no': -1, 'count': 181}]"
60,2,14,0.0,10,183,0.5159869678712053,"[{'cluster_no': 1, 'count': 21}, {'cluster_no': 4, 'count': 25}, {'cluster_no': 0, 'count': 26}, {'cluster_no': 5, 'count': 31}, {'cluster_no': 3, 'count': 34}, {'cluster_no': 2, 'count': 47}, {'cluster_no': 8, 'count': 47}, {'cluster_no': 6, 'count': 60}, {'cluster_no': 7, 'count': 110}, {'cluster_no': -1, 'count': 183}]"
