n_neighbors,n_components,total_clusters,outliers,cluster_results,adjusted_rand_score,adjusted_mutual_info_score
100,15,3,12,"[{'cluster_no': 1, 'count': 576}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 12}]",0.12562993688642082,0.18603484587660782
100,10,3,1,"[{'cluster_no': 1, 'count': 587}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 1}]",0.14743669519726013,0.2111926471176624
100,5,3,14,"[{'cluster_no': 1, 'count': 574}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 14}]",0.1433937667174305,0.1812735836440339
100,4,3,0,"[{'cluster_no': 1, 'count': 588}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 0}]",0.15076257770531765,0.21654625303331043
100,3,18,236,"[{'cluster_no': 16, 'count': 48}, {'cluster_no': 15, 'count': 5}, {'cluster_no': 14, 'count': 9}, {'cluster_no': 13, 'count': 6}, {'cluster_no': 12, 'count': 9}, {'cluster_no': 11, 'count': 62}, {'cluster_no': 10, 'count': 54}, {'cluster_no': 9, 'count': 41}, {'cluster_no': 8, 'count': 6}, {'cluster_no': 7, 'count': 20}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 5, 'count': 14}, {'cluster_no': 4, 'count': 7}, {'cluster_no': 3, 'count': 5}, {'cluster_no': 2, 'count': 5}, {'cluster_no': 1, 'count': 52}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 236}]",-0.017154842603522763,0.06020681204389933
100,2,28,194,"[{'cluster_no': 26, 'count': 9}, {'cluster_no': 25, 'count': 14}, {'cluster_no': 24, 'count': 13}, {'cluster_no': 23, 'count': 12}, {'cluster_no': 22, 'count': 7}, {'cluster_no': 21, 'count': 11}, {'cluster_no': 20, 'count': 11}, {'cluster_no': 19, 'count': 15}, {'cluster_no': 18, 'count': 8}, {'cluster_no': 17, 'count': 14}, {'cluster_no': 16, 'count': 9}, {'cluster_no': 15, 'count': 17}, {'cluster_no': 14, 'count': 7}, {'cluster_no': 13, 'count': 10}, {'cluster_no': 12, 'count': 25}, {'cluster_no': 11, 'count': 6}, {'cluster_no': 10, 'count': 10}, {'cluster_no': 9, 'count': 43}, {'cluster_no': 8, 'count': 5}, {'cluster_no': 7, 'count': 6}, {'cluster_no': 6, 'count': 8}, {'cluster_no': 5, 'count': 6}, {'cluster_no': 4, 'count': 5}, {'cluster_no': 3, 'count': 61}, {'cluster_no': 2, 'count': 51}, {'cluster_no': 1, 'count': 13}, {'cluster_no': 0, 'count': 10}, {'cluster_no': -1, 'count': 194}]",0.006292739956080957,0.052597003720296596
50,768,Error,Error,Error,Error,Error
50,600,Error,Error,Error,Error,Error
50,500,26,249,"[{'cluster_no': 24, 'count': 15}, {'cluster_no': 23, 'count': 11}, {'cluster_no': 22, 'count': 6}, {'cluster_no': 21, 'count': 7}, {'cluster_no': 20, 'count': 16}, {'cluster_no': 19, 'count': 7}, {'cluster_no': 18, 'count': 9}, {'cluster_no': 17, 'count': 6}, {'cluster_no': 16, 'count': 9}, {'cluster_no': 15, 'count': 6}, {'cluster_no': 14, 'count': 16}, {'cluster_no': 13, 'count': 11}, {'cluster_no': 12, 'count': 38}, {'cluster_no': 11, 'count': 9}, {'cluster_no': 10, 'count': 56}, {'cluster_no': 9, 'count': 5}, {'cluster_no': 8, 'count': 5}, {'cluster_no': 7, 'count': 15}, {'cluster_no': 6, 'count': 6}, {'cluster_no': 5, 'count': 8}, {'cluster_no': 4, 'count': 11}, {'cluster_no': 3, 'count': 46}, {'cluster_no': 2, 'count': 10}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 249}]",-0.013409158953516064,0.06660018249932388
50,400,3,0,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 588}, {'cluster_no': -1, 'count': 0}]",0.15076257770531765,0.21654625303331038
50,300,3,0,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 588}, {'cluster_no': -1, 'count': 0}]",0.15076257770531765,0.21654625303331038
50,200,3,0,"[{'cluster_no': 1, 'count': 12}, {'cluster_no': 0, 'count': 588}, {'cluster_no': -1, 'count': 0}]",0.15076257770531765,0.21654625303331038
50,100,22,191,"[{'cluster_no': 20, 'count': 11}, {'cluster_no': 19, 'count': 37}, {'cluster_no': 18, 'count': 39}, {'cluster_no': 17, 'count': 19}, {'cluster_no': 16, 'count': 11}, {'cluster_no': 15, 'count': 29}, {'cluster_no': 14, 'count': 18}, {'cluster_no': 13, 'count': 18}, {'cluster_no': 12, 'count': 18}, {'cluster_no': 11, 'count': 10}, {'cluster_no': 10, 'count': 15}, {'cluster_no': 9, 'count': 21}, {'cluster_no': 8, 'count': 12}, {'cluster_no': 7, 'count': 5}, {'cluster_no': 6, 'count': 5}, {'cluster_no': 5, 'count': 46}, {'cluster_no': 4, 'count': 7}, {'cluster_no': 3, 'count': 8}, {'cluster_no': 2, 'count': 57}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 191}]",-0.0075711965159242405,0.0605599644593148
50,50,6,45,"[{'cluster_no': 4, 'count': 56}, {'cluster_no': 3, 'count': 427}, {'cluster_no': 2, 'count': 49}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 45}]",0.0661224102730374,0.08879628223426987
50,30,20,225,"[{'cluster_no': 18, 'count': 8}, {'cluster_no': 17, 'count': 9}, {'cluster_no': 16, 'count': 15}, {'cluster_no': 15, 'count': 27}, {'cluster_no': 14, 'count': 17}, {'cluster_no': 13, 'count': 9}, {'cluster_no': 12, 'count': 12}, {'cluster_no': 11, 'count': 5}, {'cluster_no': 10, 'count': 51}, {'cluster_no': 9, 'count': 12}, {'cluster_no': 8, 'count': 53}, {'cluster_no': 7, 'count': 18}, {'cluster_no': 6, 'count': 8}, {'cluster_no': 5, 'count': 5}, {'cluster_no': 4, 'count': 43}, {'cluster_no': 3, 'count': 5}, {'cluster_no': 2, 'count': 55}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 225}]",-0.019724858809201704,0.0587635650791386
50,15,3,3,"[{'cluster_no': 1, 'count': 585}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 3}]",0.14092687643941526,0.2063264552208933
50,10,3,0,"[{'cluster_no': 1, 'count': 588}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 0}]",0.15076257770531765,0.21654625303331043
50,5,19,215,"[{'cluster_no': 17, 'count': 13}, {'cluster_no': 16, 'count': 11}, {'cluster_no': 15, 'count': 9}, {'cluster_no': 14, 'count': 19}, {'cluster_no': 13, 'count': 20}, {'cluster_no': 12, 'count': 10}, {'cluster_no': 11, 'count': 45}, {'cluster_no': 10, 'count': 55}, {'cluster_no': 9, 'count': 57}, {'cluster_no': 8, 'count': 13}, {'cluster_no': 7, 'count': 13}, {'cluster_no': 6, 'count': 5}, {'cluster_no': 5, 'count': 47}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 3, 'count': 8}, {'cluster_no': 2, 'count': 34}, {'cluster_no': 1, 'count': 5}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 215}]",-0.0027147411051118755,0.06853149242372397
50,4,18,232,"[{'cluster_no': 16, 'count': 5}, {'cluster_no': 15, 'count': 12}, {'cluster_no': 14, 'count': 8}, {'cluster_no': 13, 'count': 36}, {'cluster_no': 12, 'count': 46}, {'cluster_no': 11, 'count': 11}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 8, 'count': 42}, {'cluster_no': 7, 'count': 18}, {'cluster_no': 6, 'count': 55}, {'cluster_no': 5, 'count': 8}, {'cluster_no': 4, 'count': 28}, {'cluster_no': 3, 'count': 42}, {'cluster_no': 2, 'count': 9}, {'cluster_no': 1, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 232}]",-0.015594946190328376,0.05944229318110396
50,3,20,203,"[{'cluster_no': 18, 'count': 22}, {'cluster_no': 17, 'count': 5}, {'cluster_no': 16, 'count': 14}, {'cluster_no': 15, 'count': 8}, {'cluster_no': 14, 'count': 60}, {'cluster_no': 13, 'count': 14}, {'cluster_no': 12, 'count': 9}, {'cluster_no': 11, 'count': 22}, {'cluster_no': 10, 'count': 42}, {'cluster_no': 9, 'count': 5}, {'cluster_no': 8, 'count': 22}, {'cluster_no': 7, 'count': 55}, {'cluster_no': 6, 'count': 50}, {'cluster_no': 5, 'count': 7}, {'cluster_no': 4, 'count': 8}, {'cluster_no': 3, 'count': 5}, {'cluster_no': 2, 'count': 26}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 203}]",-0.016703069507126106,0.06142890156985685
50,2,25,172,"[{'cluster_no': 23, 'count': 7}, {'cluster_no': 22, 'count': 7}, {'cluster_no': 21, 'count': 18}, {'cluster_no': 20, 'count': 5}, {'cluster_no': 19, 'count': 16}, {'cluster_no': 18, 'count': 15}, {'cluster_no': 17, 'count': 16}, {'cluster_no': 16, 'count': 28}, {'cluster_no': 15, 'count': 30}, {'cluster_no': 14, 'count': 37}, {'cluster_no': 13, 'count': 10}, {'cluster_no': 12, 'count': 51}, {'cluster_no': 11, 'count': 16}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 9, 'count': 53}, {'cluster_no': 8, 'count': 6}, {'cluster_no': 7, 'count': 5}, {'cluster_no': 6, 'count': 12}, {'cluster_no': 5, 'count': 10}, {'cluster_no': 4, 'count': 26}, {'cluster_no': 3, 'count': 15}, {'cluster_no': 2, 'count': 9}, {'cluster_no': 1, 'count': 11}, {'cluster_no': 0, 'count': 12}, {'cluster_no': -1, 'count': 172}]",0.004721641842217202,0.05845870797071744
