dimension,min_samples,min_cluster_size,epsilon,total_clusters,outliers,Silhouette_score,cluster_results
400,2,11,0.0,13,213,0.5985602236668531,"[{'cluster_no': 0, 'count': 12}, {'cluster_no': 8, 'count': 14}, {'cluster_no': 7, 'count': 19}, {'cluster_no': 9, 'count': 20}, {'cluster_no': 3, 'count': 23}, {'cluster_no': 6, 'count': 24}, {'cluster_no': 4, 'count': 26}, {'cluster_no': 5, 'count': 29}, {'cluster_no': 11, 'count': 41}, {'cluster_no': 1, 'count': 48}, {'cluster_no': 2, 'count': 57}, {'cluster_no': 10, 'count': 58}, {'cluster_no': -1, 'count': 213}]"
400,2,12,0.0,13,213,0.5985602236668531,"[{'cluster_no': 0, 'count': 12}, {'cluster_no': 8, 'count': 14}, {'cluster_no': 7, 'count': 19}, {'cluster_no': 9, 'count': 20}, {'cluster_no': 3, 'count': 23}, {'cluster_no': 6, 'count': 24}, {'cluster_no': 4, 'count': 26}, {'cluster_no': 5, 'count': 29}, {'cluster_no': 11, 'count': 41}, {'cluster_no': 1, 'count': 48}, {'cluster_no': 2, 'count': 57}, {'cluster_no': 10, 'count': 58}, {'cluster_no': -1, 'count': 213}]"
400,2,13,0.0,11,209,0.6119102211027683,"[{'cluster_no': 7, 'count': 20}, {'cluster_no': 2, 'count': 23}, {'cluster_no': 6, 'count': 24}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 5, 'count': 29}, {'cluster_no': 9, 'count': 41}, {'cluster_no': 0, 'count': 48}, {'cluster_no': 4, 'count': 49}, {'cluster_no': 1, 'count': 57}, {'cluster_no': 8, 'count': 58}, {'cluster_no': -1, 'count': 209}]"
400,2,14,0.0,11,209,0.6119102211027683,"[{'cluster_no': 7, 'count': 20}, {'cluster_no': 2, 'count': 23}, {'cluster_no': 6, 'count': 24}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 5, 'count': 29}, {'cluster_no': 9, 'count': 41}, {'cluster_no': 0, 'count': 48}, {'cluster_no': 4, 'count': 49}, {'cluster_no': 1, 'count': 57}, {'cluster_no': 8, 'count': 58}, {'cluster_no': -1, 'count': 209}]"
400,2,15,0.0,11,209,0.6119102211027683,"[{'cluster_no': 7, 'count': 20}, {'cluster_no': 2, 'count': 23}, {'cluster_no': 6, 'count': 24}, {'cluster_no': 3, 'count': 26}, {'cluster_no': 5, 'count': 29}, {'cluster_no': 9, 'count': 41}, {'cluster_no': 0, 'count': 48}, {'cluster_no': 4, 'count': 49}, {'cluster_no': 1, 'count': 57}, {'cluster_no': 8, 'count': 58}, {'cluster_no': -1, 'count': 209}]"
400,3,5,0.0,23,225,0.573372698957398,"[{'cluster_no': 0, 'count': 5}, {'cluster_no': 7, 'count': 5}, {'cluster_no': 14, 'count': 5}, {'cluster_no': 19, 'count': 6}, {'cluster_no': 1, 'count': 7}, {'cluster_no': 6, 'count': 7}, {'cluster_no': 15, 'count': 7}, {'cluster_no': 3, 'count': 8}, {'cluster_no': 2, 'count': 9}, {'cluster_no': 8, 'count': 9}, {'cluster_no': 5, 'count': 10}, {'cluster_no': 11, 'count': 13}, {'cluster_no': 9, 'count': 15}, {'cluster_no': 13, 'count': 18}, {'cluster_no': 16, 'count': 18}, {'cluster_no': 17, 'count': 18}, {'cluster_no': 10, 'count': 21}, {'cluster_no': 18, 'count': 21}, {'cluster_no': 12, 'count': 23}, {'cluster_no': 21, 'count': 33}, {'cluster_no': 4, 'count': 48}, {'cluster_no': 20, 'count': 53}, {'cluster_no': -1, 'count': 225}]"
400,3,6,0.0,20,230,0.5972676782480707,"[{'cluster_no': 16, 'count': 6}, {'cluster_no': 5, 'count': 7}, {'cluster_no': 2, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 4, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 8, 'count': 12}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 7, 'count': 15}, {'cluster_no': 12, 'count': 18}, {'cluster_no': 13, 'count': 18}, {'cluster_no': 14, 'count': 18}, {'cluster_no': 9, 'count': 21}, {'cluster_no': 15, 'count': 21}, {'cluster_no': 11, 'count': 23}, {'cluster_no': 18, 'count': 33}, {'cluster_no': 3, 'count': 48}, {'cluster_no': 17, 'count': 53}, {'cluster_no': -1, 'count': 230}]"
400,3,7,0.0,19,227,0.5952485608526641,"[{'cluster_no': 5, 'count': 7}, {'cluster_no': 2, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 6, 'count': 9}, {'cluster_no': 4, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 8, 'count': 12}, {'cluster_no': 10, 'count': 13}, {'cluster_no': 7, 'count': 15}, {'cluster_no': 12, 'count': 18}, {'cluster_no': 14, 'count': 18}, {'cluster_no': 15, 'count': 18}, {'cluster_no': 9, 'count': 21}, {'cluster_no': 11, 'count': 23}, {'cluster_no': 13, 'count': 30}, {'cluster_no': 17, 'count': 33}, {'cluster_no': 3, 'count': 48}, {'cluster_no': 16, 'count': 53}, {'cluster_no': -1, 'count': 227}]"
400,3,8,0.0,18,234,0.6068127672139737,"[{'cluster_no': 2, 'count': 8}, {'cluster_no': 1, 'count': 9}, {'cluster_no': 5, 'count': 9}, {'cluster_no': 4, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 7, 'count': 12}, {'cluster_no': 9, 'count': 13}, {'cluster_no': 6, 'count': 15}, {'cluster_no': 11, 'count': 18}, {'cluster_no': 13, 'count': 18}, {'cluster_no': 14, 'count': 18}, {'cluster_no': 8, 'count': 21}, {'cluster_no': 10, 'count': 23}, {'cluster_no': 12, 'count': 30}, {'cluster_no': 16, 'count': 33}, {'cluster_no': 3, 'count': 48}, {'cluster_no': 15, 'count': 53}, {'cluster_no': -1, 'count': 234}]"
400,3,9,0.0,17,242,0.6326172305530657,"[{'cluster_no': 1, 'count': 9}, {'cluster_no': 4, 'count': 9}, {'cluster_no': 3, 'count': 10}, {'cluster_no': 0, 'count': 12}, {'cluster_no': 6, 'count': 12}, {'cluster_no': 8, 'count': 13}, {'cluster_no': 5, 'count': 15}, {'cluster_no': 10, 'count': 18}, {'cluster_no': 12, 'count': 18}, {'cluster_no': 13, 'count': 18}, {'cluster_no': 7, 'count': 21}, {'cluster_no': 9, 'count': 23}, {'cluster_no': 11, 'count': 30}, {'cluster_no': 15, 'count': 33}, {'cluster_no': 2, 'count': 48}, {'cluster_no': 14, 'count': 53}, {'cluster_no': -1, 'count': 242}]"
