,parent,child,lambda_val,child_size
94,299,14,5765.366323024055,1
95,299,98,5773.302133516861,1
96,299,64,5781.259820813232,1
97,299,296,5783.252671492589,1
98,299,270,5795.238687392055,1
99,299,139,5797.241188666206,1
100,299,294,5805.265051903114,1
101,299,128,5809.285318559557,1
102,299,236,5823.40020826102,1
103,299,168,5831.496697949253,1
104,299,282,5835.553391304348,1
105,299,247,5845.719860627178,1
106,299,205,5845.719860627178,1
107,299,42,5851.8367631670735,1
108,299,86,5853.878576413119,1
109,299,146,5862.060097833682,1
110,299,92,5886.74245614035,1
111,299,25,5895.01616303584,1
112,299,101,5895.01616303584,1
113,299,11,5899.161744022504,1
114,299,118,5901.236721772775,1
115,299,124,5911.633544749824,1
116,299,255,5919.977417078335,1
117,299,66,5926.250794772165,1
118,299,94,5936.736022646851,1
119,299,119,5943.044987601842,1
120,299,29,5947.2584190003545,1
121,299,67,5955.703230386936,1
122,299,95,5964.172058300746,1
123,299,162,5972.665005339979,1
124,299,165,5976.920555753473,1
125,299,50,5976.920555753473,1
126,299,77,5981.182174688057,1
127,299,215,5985.449875133785,1
128,299,88,5985.449875133785,1
129,299,71,5985.449875133785,1
130,299,231,5998.2895959957095,1
131,299,137,6004.730136005726,1
132,299,194,6021.97272074659,1
133,299,2,6026.298850574713,1
134,299,9,6048.0230713770725,1
135,299,181,6061.132947976878,1
136,299,78,6063.323455005421,1
137,299,167,6076.4998189061935,1
138,299,79,6078.701449275362,1
139,299,223,6089.733575317604,1
140,299,7,6103.025100036377,1
141,299,155,6103.025100036377,1
142,299,112,6105.245997088792,1
143,299,43,6123.071532846715,1
144,299,144,6125.3070463672875,1
145,299,15,6125.3070463672875,1
146,299,176,6129.782974059189,1
147,299,132,6145.500366300366,1
148,299,103,6147.752290216196,1
149,299,59,6154.517975055026,1
150,299,120,6177.178203240059,1
151,299,106,6179.453406998158,1
152,299,46,6179.453406998158,1
153,299,44,6195.426883308715,1
154,299,291,6204.591715976331,1
155,299,268,6206.887162412135,1
156,299,186,6216.085957762134,1
157,299,196,6234.565589000372,1
158,299,254,6255.486950037285,1
159,299,41,6267.170713485245,1
160,299,172,6269.512705530643,1
161,299,55,6285.955788684901,1
162,299,1,6295.390619136961,1
163,299,201,6304.853814355505,1
164,299,125,6321.483044461191,1
165,299,93,6323.865812287976,1
166,299,87,6342.992816635161,1
167,299,182,6345.391830559758,1
168,299,178,6350.19530658592,1
169,299,213,6355.006060606061,1
170,299,156,6355.006060606061,1
171,299,136,6355.006060606061,1
172,299,209,6364.649468892261,1
173,299,239,6369.4821564160975,1
174,299,126,6369.4821564160975,1
175,299,192,6405.962581137839,1
176,299,48,6410.858234619794,1
177,299,159,6447.815526518063,1
178,299,45,6472.691358024691,1
179,299,31,6500.27741185587,1
180,299,6,6505.3183404420315,1
181,299,140,6515.423689320389,1
182,299,85,6528.099610894942,1
183,299,107,6558.724003127443,1
184,299,175,6568.9960845732185,1
185,299,153,6610.4081954294725,1
186,299,0,6615.621451104101,1
187,299,135,6618.231163708087,1
188,299,74,6633.932779754844,1
189,299,219,6641.811559778305,1
190,299,202,6654.984529948433,1
191,299,198,6673.514717581544,1
192,299,16,6689.480063795853,1
193,299,154,6689.480063795853,1
194,299,33,6689.480063795853,1
195,299,61,6689.480063795853,1
196,299,187,6689.480063795853,1
197,299,47,6689.480063795853,1
198,299,51,6689.480063795853,1
199,299,157,6689.480063795853,1
200,299,210,6694.818834796489,1
201,299,143,6697.491417165668,1
202,299,260,6718.94913896676,1
203,299,34,6718.94913896676,1
204,299,197,6727.031275060144,1
205,299,265,6727.031275060144,1
206,299,65,6727.031275060144,1
207,299,113,6727.031275060144,1
208,299,123,6727.031275060144,1
209,299,295,6727.031275060144,1
210,299,212,6727.031275060144,1
211,299,248,6740.544797107272,1
212,299,110,6762.279725916969,1
213,299,237,6825.555736371033,1
214,299,72,6833.896537678208,1
215,299,222,6836.681336593317,1
216,299,243,6918.439587628866,1
217,299,111,6967.282392026578,1
218,299,207,6970.176983797258,1
219,299,35,6990.506666666667,1
220,299,82,7005.100626304802,1
221,299,293,7010.9552862515675,1
222,299,58,7013.886287625418,1
223,299,199,7037.422818791946,1
224,299,200,7055.179142136249,1
225,299,250,7061.117845117845,1
226,299,158,7064.090947368421,1
227,299,261,7073.025295109612,1
228,299,121,7087.966201943388,1
229,299,105,7099.964451967838,1
230,299,214,7105.978822532825,1
231,299,90,7115.019508057676,1
232,299,256,7115.019508057676,1
233,299,253,7130.138546536336,1
234,299,116,7130.138546536336,1
235,299,251,7142.28011919966,1
236,299,217,7151.41346973572,1
237,299,97,7169.750427350427,1
238,299,233,7326.29519650655,1
239,299,280,7339.114610673666,1
240,299,244,7368.122968818621,1
241,299,267,7449.918294849023,1
242,299,257,7493.173738276016,1
243,299,279,7520.0430300313765,1
244,299,203,7588.066938037087,1
245,299,245,7681.875457875458,1
246,299,229,7681.875457875458,1
247,299,127,7681.875457875458,1
248,299,273,7688.916590284143,1
249,299,259,7699.502524093621,1
250,299,28,7713.662528735632,1
251,299,290,7713.662528735632,1
252,299,69,7731.435944700461,1
253,299,252,7738.568265682657,1
254,299,170,7767.22962962963,1
255,299,234,7774.428174235403,1
256,299,227,7796.1040892193305,1
257,299,277,7806.987436016752,1
258,299,161,7817.901211556384,1
259,299,232,7872.931018301267,1
260,299,102,7910.049976426214,1
261,299,211,7973.961977186312,1
262,299,63,8112.773694390716,1
263,299,179,8112.773694390716,1
264,299,249,8136.380213385063,1
265,299,300,8176.03118908382,8
266,299,301,8176.03118908382,26
267,300,54,8176.03118908382,1
268,300,91,8176.03118908382,1
269,300,271,8176.03118908382,1
270,300,193,8176.03118908382,1
271,300,109,8176.03118908382,1
272,300,226,8176.03118908382,1
273,300,258,8176.03118908382,1
274,300,263,8176.03118908382,1
275,301,151,8240.282907662082,1
276,301,269,8397.005005005005,1
277,301,228,8568.547497446374,1
278,301,298,8661.443469282396,1
279,301,84,8830.113684210526,1
280,301,241,8867.450317124736,1
281,301,62,9054.083108472747,1
282,301,188,9172.890103881902,1
283,301,142,9172.890103881902,1
284,301,173,9228.391639163916,1
285,301,122,9305.166943982253,1
286,301,177,9543.353811149032,1
287,301,275,9548.785429709733,1
288,301,218,9565.117445838085,1
289,301,292,9788.340723453908,1
290,301,287,10028.222355050806,1
291,301,262,10427.10752019888,1
292,301,264,10665.744437380801,1
293,301,224,10958.338340953625,1
294,301,225,10958.338340953625,1
295,301,238,10958.338340953625,1
296,301,230,10958.338340953625,1
297,301,240,10958.338340953625,1
298,301,174,10958.338340953625,1
299,301,297,10958.338340953625,1
300,301,281,10958.338340953625,1
