Cluster,DocId,x,y
13,494,3.75,4.94
10,495,4.01,2.03
4,496,7.63,3.73
2,497,2.33,3.8200000000000003
11,498,6.94,7.13
13,499,3.39,4.54
13,500,3.51,4.59
5,501,4.32,5.0
4,502,8.48,3.92
1,503,9.25,1.98
1,504,8.94,1.76
1,505,8.83,2.2
7,506,6.25,2.07
2,507,2.83,3.6
5,508,5.48,4.7
9,509,0.59,1.19
10,510,3.47,2.33
10,511,3.85,2.23
7,512,6.02,2.9
13,513,3.44,4.59
13,514,3.69,4.87
13,515,3.08,5.08
7,516,6.22,2.46
7,517,5.83,2.45
13,518,4.03,4.59
10,519,3.58,2.33
4,520,8.3,3.95
12,521,6.53,4.59
5,522,4.67,5.21
3,523,7.49,5.32
13,524,3.51,4.51
6,525,7.09,6.38
6,526,6.89,6.2
8,527,4.17,3.71
10,528,3.17,2.81
13,529,3.19,4.27
1,530,7.8100000000000005,2.7800000000000002
4,531,8.58,3.38
13,532,3.44,4.51
13,533,3.54,4.59
1,534,8.79,1.57
7,535,6.63,2.12
4,536,7.74,3.5300000000000002
1,537,8.77,1.8599999999999999
4,538,8.63,3.51
4,539,8.21,3.19
10,540,3.96,2.64
7,541,5.62,2.41
2,542,2.27,3.59
2,543,1.88,2.95
13,544,3.14,4.18
7,545,6.26,2.02
13,546,3.63,4.91
4,547,8.48,3.42
13,548,3.52,4.5600000000000005
10,549,3.37,2.55
0,550,7.4,3.31
13,551,2.89,4.5600000000000005
7,552,5.33,2.22
0,553,5.91,3.06
5,554,4.63,5.3
5,555,4.44,5.19
7,556,5.47,2.75
5,557,4.94,5.06
13,558,3.95,4.34
12,559,6.69,5.41
2,560,2.44,2.81
14,561,5.47,3.34
13,562,3.41,4.41
4,563,7.64,4.04
13,564,3.34,5.01
14,565,4.61,2.39
14,566,5.0,3.19
1,567,8.92,2.19
5,568,4.76,5.28
0,569,6.42,3.79
6,570,6.33,6.44
11,571,6.64,6.87
6,572,6.9,6.21
8,573,3.46,3.9
1,574,8.29,2.29
12,575,6.32,4.51
8,576,3.74,3.56
10,577,3.89,2.11
0,578,6.55,3.6
11,579,7.27,7.08
13,580,3.47,4.66
5,581,4.18,5.45
12,582,6.31,4.48
5,583,4.2,5.03
8,584,3.67,3.6
8,585,3.67,3.8
8,586,3.5300000000000002,3.65
0,587,6.23,3.09
5,588,4.62,5.3
12,589,5.42,5.24
2,590,2.86,3.29
5,591,4.52,5.43
5,592,4.24,5.34
12,593,6.28,4.96
12,594,6.17,4.58
5,595,5.64,4.91
2,596,2.7,3.84
3,597,7.65,5.19
5,598,5.67,4.85
2,599,2.5300000000000002,3.73
