group,score,key-phrase
4,0.5434369,urban geographical information
4,0.5424712,autonomous mobility
4,0.54162,support autonomous mobility
4,0.5392009,smart urban environment
4,0.5389331,regional traffic control
4,0.5328791,smart city evolve
4,0.5327012,intelligent city
4,0.5303548,smart city initiative
4,0.5292251,mixed traffic flow
4,0.52788,lighter traffic path
4,0.5276278,traffic network
4,0.5266102,Urban Experiment
4,0.5265196,smart home
4,0.5262954,urban planning
4,0.5239827,urban innovation
4,0.5238085,IoT data set
4,0.52224857,urban mobility landscape
4,0.5221712,smart city network
4,0.5214834,modern intelligent transportation
4,0.52034914,interactive traffic control
4,0.52019763,traffic management
4,0.5177096,multiple urban simulation
4,0.51582783,architecture
4,0.51558805,traffic information collection
4,0.5150647,traffic flow
4,0.5145842,human design process
4,0.5124979,traffic system
4,0.51074743,urban traffic condition
4,0.5100147,virtual city
4,0.51000714,urban governance dilemma
4,0.5092647,urban freeway corridor
4,0.5084132,vehicular traffic
4,0.50789106,urban design problem
4,0.5071516,urban data management
4,0.5063534,modelling platform
4,0.5042728,model urban data
4,0.50127906,city traffic system
4,0.50040865,urban freeway
4,0.49983016,city infrastructure
4,0.49764854,traffic condition
4,0.49682957,traffic control system
4,0.495027,mainstream urban model
4,0.49426627,urban economics
4,0.49300998,urban infrastructure
4,0.4921678,urban landscape
4,0.4859218,Traffic control
4,0.48230648,traffic management strategy
4,0.48226994,predict traffic condition
4,0.48190588,urban zoning
4,0.48150387,urban transportation system
4,0.48114794,design task
4,0.48097402,represent urban traffic
4,0.48002017,urban form
4,0.47981468,urban design
4,0.47910047,urban transportation
4,0.47256342,human designer
4,0.47112903,urban traffic
4,0.4704386,Traffic grid
4,0.47033885,land use practitioner
4,0.46952337,transport planning
4,0.46949017,townscapes
4,0.46739757,outdoor townscapes
4,0.46432137,road urban network
4,0.46383932,smart city transportation
4,0.4636742,urban critical infrastructure
4,0.46291327,urban scenario
4,0.46288413,medical IoT sensor
4,0.46269092,transportation system
4,0.45956218,city environment
4,0.454575,urban mobility
4,0.4541332,city configuration
4,0.4520012,future traffic clogging
4,0.448571,digital city
4,0.44828406,sustainable city
4,0.44735143,transport planning issue
4,0.44567418,automation
4,0.44547683,IoT application
4,0.44475555,smart environment
4,0.4415591,urban planner
4,0.44120294,city model
4,0.44021285,designer work
4,0.4391127,urban traffic flow
4,0.43761426,intelligent transportation
4,0.43726662,urban tech
4,0.43612745,traffic management solution
4,0.43583256,futuristic urban design
4,0.43562436,sustainable smart city
4,0.4353079,urban potential
4,0.43229482,smart transport
4,0.43186074,urban governance
4,0.4301647,sustainable Mobility
4,0.42888275,urban economy
4,0.4282142,IoT sensor network
4,0.42642128,urban data
4,0.42562568,city model composition
4,0.42399472,traffic trajectory
4,0.42357904,unseen city configuration
4,0.42225137,IoT system
4,0.42201057,smart city grid
4,0.42020658,IoT sensor
4,0.42009562,automated vehicle
4,0.41710365,design process
4,0.41427022,design proposal
4,0.41376752,intelligent city construction
4,0.41128433,urban environment
4,0.41013962,IoT service
4,0.40771502,complex urban environment
4,0.40096655,urban condition
4,0.39963478,Autonomous Vehicle
4,0.39385542,design
4,0.39283633,city initiative
4,0.38882726,traffic light detection
4,0.38129324,service infrastructure
4,0.35686898,improved urban planning
4,0.3567003,unprecedented urban growth
4,0.34787488,urban growth
4,0.34032905,physical infrastructure
4,0.34000924,designer
4,0.33033377,urban life
5,0.54401916,data mining technique
5,0.5007552,data science technique
5,0.5003535,intelligence technology
5,0.47785723,Deep neural network
5,0.46813327,artificial intelligence technology
5,0.460828,Machine Learning technique
5,0.4586673,human intelligence
5,0.4576295,intelligent system
5,0.44777238,artificial intelligence
5,0.44697672,AI assistant
5,0.4449886,AI character
5,0.43705165,deep learning algorithm
5,0.4359067,smart technology
5,0.43187594,data mining
5,0.42893544,AI technology
5,0.41931015,deep learning
5,0.41219527,intelligence design
5,0.3999761,intelligence
5,0.39739698,agent intelligence
5,0.38809174,Machine learning
5,0.32460815,smart device
-1,0.70245254,construction game
-1,0.6838772,construction simulation
-1,0.6694456,ambient intelligence
-1,0.6653386,automated vacuum waste
-1,0.6592246,Intelligent driver assist
-1,0.6576874,waste collection optimization
-1,0.63867795,accident investigation site
-1,0.63835794,Drone Future
-1,0.63354594,virtual construction site
-1,0.6311234,Intelligent driver
-1,0.62888694,layout synthesis
-1,0.6208712,vacuum waste collection
-1,0.61288273,driver assist system
-1,0.60517406,pedestrian motion
-1,0.58666235,intrusion detection method
-1,0.5864377,accident investigation
-1,0.5662721,railway safety
-1,0.56202,driver assist
-1,0.5616858,intrusion detection
-1,0.5615204,urban waste disposal
-1,0.55991244,railway enable safety
-1,0.5588611,participatory AI affords
-1,0.55329883,drone
-1,0.55151784,AI storm water
-1,0.5468401,pedestrian behavior
-1,0.54439557,video surveillance
-1,0.53986275,urban health monitoring
-1,0.53591764,spacescapes
-1,0.5344652,waste collection
-1,0.52964365,person detection method
-1,0.52948105,storm water management
-1,0.5285576,video surveillance system
-1,0.52647185,Spacescape Experimentation
-1,0.5260435,spatial agent
-1,0.5203004,designer interact
-1,0.51875865,requirement engineering
-1,0.5186219,stormwater management
-1,0.51784986,anomaly detection
-1,0.51668537,urban heat monitoring
-1,0.5156468,Ambient explanation
-1,0.51520675,anomaly detection method
-1,0.5142373,simulate human intelligence
-1,0.5135347,Semantic framework
-1,0.5134157,Accessibility
-1,0.51253784,creative eMedia
-1,0.50798714,responsible AI outcome
-1,0.50703394,complex hydrological system
-1,0.50577706,procedural generation
-1,0.5046429,AI economy
-1,0.50070775,algorithmic governance
-1,0.50026643,functional layout
-1,0.5002122,LID stormwater management
-1,0.49944454,driver assist device
-1,0.4986128,activity recognition
-1,0.49104068,coronavirus
-1,0.48825747,spacescape quality
-1,0.48799616,Online citizen participation
-1,0.48588547,UX machine
-1,0.48584795,suitable requirement engineering
-1,0.48538563,safe trajectory
-1,0.48062387,terrorist action signal
-1,0.48009402,safe city concept
-1,0.47844523,constructive preference elicitation
-1,0.47789648,omnichannel service
-1,0.47737676,pedestrian crossing
-1,0.4765904,participatory analytics
-1,0.47517774,user experience design
-1,0.47505105,landscape observation
-1,0.47451797,big data analysis
-1,0.47329962,requirement engineering perspective
-1,0.47304532,reachable area
-1,0.4672882,learning
-1,0.4671472,blockchain
-1,0.46631196,intelligence identification layer
-1,0.46332544,electric city
-1,0.46215212,environmental sensor
-1,0.461994,human factor requirement
-1,0.4619266,intricate design world
-1,0.45766786,transportation intervention strategy
-1,0.45745862,ensemble learning approach
-1,0.45664373,Finnish city official
-1,0.45645553,AI robotics
-1,0.4538947,big data
-1,0.4537261,Spacescape
-1,0.45250055,participatory planning
-1,0.45192254,sensor data
-1,0.4483747,machine learning hyperparameter
-1,0.44765314,mobility sector
-1,0.44568264,autonomous AI behaviour
-1,0.4454648,air quality concern
-1,0.44111022,air quality limitation
-1,0.44059175,regional development
-1,0.44051108,big data analytics
-1,0.4403253,Big Data processing
-1,0.43744108,sensor data fusion
-1,0.43743968,navigate intersection
-1,0.4335129,genetic algorithm
-1,0.43195814,vehicle emission
-1,0.4318421,Reachability analysis
-1,0.43083256,powerful workshop tool
-1,0.4306718,Edge Computing platform
-1,0.42908138,mobile communication technology
-1,0.42871606,intelligent routing
-1,0.42450643,crosswalk
-1,0.42177325,AI outcome
-1,0.4202152,thin globalization
-1,0.41862512,clustering algorithm
-1,0.4174008,data dashboard
-1,0.41739443,construction monitoring
-1,0.41554996,passenger data
-1,0.41519606,globalization
-1,0.4142277,sensor fusion
-1,0.41311938,mobile computing
-1,0.41117615,playable city
-1,0.40864393,advantage innovation
-1,0.40755063,pedestrian
-1,0.40741324,spatiotemporal data
-1,0.40390393,ML model
-1,0.40387458,information system
-1,0.4029758,scene decomposition
-1,0.40293872,Reachability
-1,0.40121496,pollution detection
-1,0.40120578,intelligence inference layer
-1,0.3997276,user input
-1,0.39969176,mobile communication
-1,0.3995976,scene decomposition approach
-1,0.39933226,handwritten digit recognition
-1,0.39878356,planner
-1,0.3978324,traditional clustering algorithm
-1,0.39227113,workshop tool
-1,0.38809347,citizen participation
-1,0.3836664,learning hyperparameter
-1,0.38248795,future information technology
-1,0.37358874,AV development
-1,0.36806592,smart community
-1,0.36639065,analytics infrastructure
-1,0.36242113,energy Storage
-1,0.3512511,statistical spatial test
-1,0.35064152,area size
-1,0.34120065,city
-1,0.33705235,delivery system
-1,0.33520937,eMedia
-1,0.33101535,data
-1,0.32486427,smart healthcare
-1,0.3244137,layout
-1,0.31212372,data capture
-1,0.30690414,thinking
-1,0.2932694,machine
-1,0.272526,cryptography
-1,0.2597409,Mind
-1,0.2545132,visualization
-1,0.24956454,neuroscience
-1,0.23791435,bus
-1,0.20717765,Material
-1,0.18582545,energy
-1,0.14479288,research
-1,0.13929598,Car Restriction Policy
-1,0.12653667,Printing
-1,0.121505216,question
-1,0.11935,paper
-1,0.118152104,conference
