n_neighbour,cluster,sse
15,114,30.146236419677734
15,115,29.901676177978516
15,116,29.667903900146484
15,117,29.48341941833496
15,118,28.4417781829834
15,119,28.17851448059082
15,120,27.92566680908203
15,121,27.9179744720459
15,122,27.92499542236328
15,123,26.99225616455078
15,124,27.60944175720215
15,125,26.846994400024414
15,126,26.645723342895508
15,127,26.51984977722168
15,128,26.08470916748047
15,129,26.274272918701172
15,130,25.59282875061035
15,131,25.344966888427734
15,132,25.271432876586914
15,133,25.24439811706543
15,134,24.423933029174805
15,135,24.535104751586914
15,136,24.634531021118164
15,137,24.38631820678711
15,138,24.187490463256836
15,139,23.719770431518555
15,140,23.669803619384766
15,141,23.377519607543945
15,142,23.26105499267578
15,143,23.007047653198242
15,144,22.709720611572266
15,145,22.691198348999023
15,146,22.311738967895508
15,147,22.05327606201172
15,148,22.20182991027832
15,149,22.315858840942383
20,1,2573.138671875
20,2,1401.25390625
20,3,999.3157958984375
20,4,783.5000610351562
20,5,628.2772827148438
20,6,529.014892578125
20,7,438.0457458496094
20,8,372.1731262207031
20,9,335.7478942871094
20,10,300.72686767578125
20,11,275.23614501953125
20,12,261.0951232910156
20,13,240.6423797607422
20,14,224.36358642578125
20,15,216.03860473632812
20,16,206.85028076171875
20,17,191.12962341308594
20,18,184.1744384765625
20,19,177.89276123046875
20,20,165.05953979492188
20,21,159.19610595703125
20,22,155.3174591064453
20,23,149.6295166015625
20,24,145.1912841796875
20,25,137.9253692626953
20,26,133.58901977539062
20,27,129.44482421875
20,28,123.77631378173828
20,29,120.78141784667969
20,30,115.87353515625
20,31,111.34844970703125
20,32,109.93171691894531
20,33,106.44890594482422
20,34,102.03478240966797
20,35,100.80838012695312
20,36,97.73490142822266
20,37,95.19651794433594
20,38,92.13497161865234
20,39,89.43232727050781
20,40,87.89939880371094
20,41,85.6589126586914
20,42,83.88725280761719
20,43,81.6201171875
20,44,78.6928939819336
20,45,78.87445068359375
20,46,77.51066589355469
20,47,75.0148696899414
20,48,74.34550476074219
20,49,72.88066101074219
20,50,72.03038787841797
20,51,69.21026611328125
20,52,68.30290222167969
20,53,67.75955200195312
20,54,66.35923767089844
20,55,65.35694122314453
20,56,64.27181243896484
20,57,62.15904235839844
20,58,61.157020568847656
20,59,60.08635711669922
20,60,58.19881820678711
20,61,56.83308792114258
20,62,57.52168655395508
20,63,57.48720169067383
20,64,55.748069763183594
20,65,55.51457977294922
20,66,53.425899505615234
20,67,53.514930725097656
20,68,51.47093200683594
20,69,51.98357391357422
20,70,51.33395004272461
20,71,50.36791229248047
20,72,49.19647216796875
20,73,48.58881378173828
20,74,47.52272415161133
20,75,47.08990478515625
20,76,46.62519836425781
20,77,46.14430236816406
20,78,45.85655975341797
20,79,45.509151458740234
20,80,45.160709381103516
20,81,43.66212844848633
20,82,43.064754486083984
20,83,43.2237663269043
20,84,42.424652099609375
20,85,42.25923156738281
20,86,40.97446823120117
20,87,40.63637924194336
20,88,40.948299407958984
20,89,40.10859298706055
20,90,40.05253601074219
20,91,39.03915023803711
20,92,38.80537033081055
20,93,38.5326042175293
20,94,38.264461517333984
20,95,37.67429733276367
20,96,37.639896392822266
20,97,36.87263107299805
20,98,36.11281967163086
20,99,35.7215690612793
20,100,36.197731018066406
20,101,35.71855545043945
20,102,35.32459259033203
20,103,34.933250427246094
20,104,33.11056137084961
20,105,34.51026153564453
20,106,33.49086380004883
20,107,33.46751022338867
