,parent,child,lambda_val,child_size
75,177,157,3423.9216326530614,1
76,177,88,3424.620534803021,1
77,177,137,3452.1020576131687,1
78,177,73,3454.234301008853,1
79,177,37,3461.3608417577884,1
80,177,125,3467.799917321207,1
81,177,151,3477.143212435233,1
82,177,74,3480.0282099149554,1
83,177,55,3482.9179987544117,1
84,177,77,3486.536990856193,1
85,177,47,3493.070164480533,1
86,177,111,3498.8980187695515,1
87,177,61,3502.550313152401,1
88,177,57,3526.8480134538577,1
89,177,145,3537.258275353152,1
90,177,172,3537.258275353152,1
91,177,147,3560.529711375212,1
92,177,71,3568.861093384386,1
93,177,141,3568.861093384386,1
94,177,84,3568.861093384386,1
95,177,164,3568.861093384386,1
96,177,133,3629.860666378191,1
97,177,108,3629.860666378191,1
98,177,39,3629.860666378191,1
99,177,49,3631.4320346320346,1
100,177,21,3654.370725332172,1
101,177,89,3658.3549934583516,1
102,177,60,3679.2140350877194,1
103,177,50,3688.9217238346528,1
104,177,63,3704.397438728196,1
105,177,94,3754.9722470904208,1
106,177,6,3767.620929710308,1
107,177,162,3773.552856500225,1
108,177,103,3779.5034917774274,1
109,177,175,3811.2712403452974,1
110,177,64,3835.6689529035207,1
111,177,36,3835.6689529035207,1
112,177,79,3849.7512620468106,1
113,177,9,3850.6348404865735,1
114,177,127,3890.8200371057515,1
115,177,117,3936.4655091506334,1
116,177,81,3936.4655091506334,1
117,177,112,3951.299105040038,1
118,177,99,3969.9990534784665,1
119,177,28,3978.4718994545888,1
120,177,75,3985.0869358669834,1
121,177,152,4066.2181289384393,1
122,177,54,4088.01559454191,1
123,177,136,4112.062745098039,1
124,177,90,4121.153524932449,1
125,177,178,4246.321437610732,34
126,177,179,4246.321437610732,18
127,178,161,4270.098243827946,1
128,179,3,4522.16064690027,1
129,178,180,4271.185336048879,12
130,178,181,4271.185336048879,21
131,179,48,4997.681263032469,1
132,180,142,4271.185336048879,1
133,181,13,4694.240626748741,1
134,179,155,5157.459575776206,1
135,180,42,4294.142820578449,1
136,181,102,4711.377702892446,1
137,179,85,5244.51891216005,1
138,180,174,4355.455867082035,1
139,180,140,4355.455867082035,1
140,180,78,4355.455867082035,1
141,180,150,4355.455867082035,1
142,180,123,4355.455867082035,1
143,180,5,4355.455867082035,1
144,180,149,4355.455867082035,1
145,180,95,4355.455867082035,1
146,180,163,4355.455867082035,1
147,180,165,4355.455867082035,1
148,181,76,5093.2653309046755,1
149,179,19,5280.836008813346,1
150,181,14,5093.2653309046755,1
151,179,41,5438.319611021069,1
152,181,67,5159.045510455105,1
153,179,23,5489.926701570681,1
154,181,83,5171.768187422935,1
155,179,93,5517.006247944755,1
156,181,17,5173.3629355534995,1
157,181,20,5173.3629355534995,1
158,179,44,5555.369536423841,1
159,179,1,5555.369536423841,1
160,179,11,5555.369536423841,1
161,179,58,5555.369536423841,1
162,179,91,5555.369536423841,1
163,179,110,5555.369536423841,1
164,179,4,5555.369536423841,1
165,179,109,5555.369536423841,1
166,179,146,5555.369536423841,1
167,179,154,5555.369536423841,1
168,181,68,5596.136090727151,1
169,181,97,5799.245074317318,1
170,181,173,6011.184521676818,1
171,181,29,6011.184521676818,1
172,181,104,6011.184521676818,1
173,181,87,6011.184521676818,1
174,181,53,6011.184521676818,1
175,181,38,6011.184521676818,1
176,181,27,6011.184521676818,1
177,181,35,6011.184521676818,1
178,181,148,6011.184521676818,1
179,181,82,6011.184521676818,1
180,181,126,6011.184521676818,1
